"","duration","gross_adjusted","budget_adjusted","gross","budget","cast_facebook_likes","reviews","Metascore","imdbRating","imdbVotes","OscarWon","OtherWin","OscarNom","OtherNom","oldness"
"2360",99,17395741,45539542,15279680,4e+07,12166,279,24,5.4,50934,0,0,0,1,11
"2361",111,5947383,22851070,5205343,2e+07,1573,118,66,6.4,12691,0,0,0,0,10
"2362",123,57471396,110726143,41523271,8e+07,13934,393,60,6.5,60164,0,4,0,5,18
"2363",135,3110641,14234611,2185266,1e+07,4266,243,50,6.5,9123,0,1,0,10,19
"2364",91,19477219,95377432,14294842,7e+07,1846,369,19,3.6,17435,0,0,0,5,17
"2365",96,22690534,8943796,21564616,8500000,8097,93,34,5.1,7765,0,0,0,1,6
"2366",89,8169397,10522114,7764027,1e+07,2061,245,57,6.7,41741,0,2,0,4,6
"2367",97,109290896,21794353,100292856,2e+07,5547,582,47,5.7,172477,0,6,0,4,8
"2368",98,80007220,23979130,60057639,1.8e+07,3151,680,70,7.1,121701,0,0,0,11,16
"2369",122,1940006,22851070,1697956,2e+07,13809,492,69,6.6,68243,0,3,0,9,10
"2370",102,107303293,15783170,101978840,1.5e+07,1018,319,54,6.5,82653,0,2,1,9,6
"2371",116,41089982,95377432,30157016,7e+07,12993,317,37,5.6,41533,0,0,0,0,17
"2372",147,184368372,173182609,138396624,1.3e+08,12954,605,38,6.6,193494,0,5,0,13,16
"2373",119,105843948,30559580,65807024,1.9e+07,11013,266,41,6.8,190562,0,1,0,3,24
"2374",118,164413497,75017598,87666629,4e+07,3986,374,55,7.4,326083,0,5,0,11,29
"2375",108,234247742,79070968,118500000,4e+07,3660,452,57,7.8,385984,0,9,1,8,30
"2376",116,479783131,43283271,210609762,1.9e+07,3230,1007,86,8.5,841355,1,19,0,25,34
"2377",87,446553,3202871,418268,3e+06,8353,285,53,5.3,40803,0,1,0,2,7
"2378",99,68615953,34154656,60269340,3e+07,6930,242,55,6,36328,0,1,0,5,11
"2379",97,39934196,26483553,27141959,1.8e+07,2936,213,6,2.6,21555,0,1,0,4,20
"2380",130,39770827,22145229,28734552,1.6e+07,3107,122,55,6.4,10778,0,1,0,14,18
"2381",98,10775408,19423409,9430988,1.7e+07,1997,332,58,7.1,47853,0,3,0,10,10
"2382",84,16996199,10168992,14373825,8600000,6954,329,33,6.5,67123,0,1,0,3,12
"2383",109,104174178,77857067,80281096,6e+07,3222,1530,29,5.6,160203,0,2,0,4,15
"2384",103,53739828,56938444,37752931,4e+07,26938,281,24,5.5,21660,0,0,0,3,19
"2385",105,2809637,9537743,2062066,7e+06,2684,244,66,6.6,11907,0,0,0,6,17
"2386",95,302205920,48553181,205399422,3.3e+07,47203,983,59,6.6,193720,0,18,1,29,20
"2387",68,82268732,25962866,53868030,1.7e+07,10557,554,51,7,196439,0,3,0,6,22
"2388",94,290327762,85839689,213079163,6.3e+07,2725,989,62,6.2,174502,0,5,0,21,17
"2389",121,39708773,26305284,37738400,2.5e+07,39690,607,58,7.2,74845,0,15,2,62,6
"2390",114,37430275,35473227,31655091,3e+07,50927,512,38,7.5,94809,0,4,1,10,12
